"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"05.12.2018","28,690","27,140","28,760","26,910","","4,18%"
"06.12.2018","28,390","28,480","28,760","27,210","","-1,05%"
"07.12.2018","27,480","28,160","28,630","26,630","","-3,21%"
"10.12.2018","26,700","27,690","28,070","26,700","","-2,84%"
"11.12.2018","27,180","27,530","28,050","27,110","","1,80%"
"12.12.2018","26,940","27,440","27,510","26,520","","-0,88%"
"13.12.2018","25,320","27,370","27,710","24,690","","-6,01%"
"14.12.2018","25,920","23,570","25,950","23,290","","2,37%"
"17.12.2018","25,890","26,980","27,150","23,980","","-0,12%"
"18.12.2018","26,610","27,690","28,960","26,410","","2,78%"
"19.12.2018","28,410","28,170","28,730","27,510","","6,76%"
"20.12.2018","27,440","29,700","29,890","27,290","","-3,41%"
"21.12.2018","25,770","27,600","27,780","24,980","","-6,09%"
"24.12.2018","25,160","26,000","26,000","24,800","","-2,37%"
"25.12.2018","28,020","26,920","31,950","26,750","","11,37%"
"26.12.2018","27,490","28,020","28,750","27,490","","-1,89%"
"27.12.2018","27,310","24,860","27,510","24,810","","-0,65%"
"28.12.2018","27,590","28,160","28,370","26,240","","1,03%"
"29.12.2018","27,030","27,540","28,180","24,930","","-2,03%"
"03.01.2019","27,860","28,300","28,450","27,050","","3,07%"
"04.01.2019","27,930","29,430","30,850","27,890","","0,25%"
"08.01.2019","25,960","25,240","26,230","24,730","","-7,05%"
"09.01.2019","25,810","26,380","26,420","25,700","","-0,58%"
"10.01.2019","24,720","25,570","26,530","23,940","","-4,22%"
"11.01.2019","24,990","24,660","25,810","22,990","","1,09%"
"14.01.2019","25,000","25,630","25,810","23,010","","0,04%"
"15.01.2019","25,570","25,060","25,750","23,870","","2,28%"
"16.01.2019","24,800","25,340","25,600","24,380","","-3,01%"
"17.01.2019","24,650","24,360","25,410","24,180","","-0,60%"
"18.01.2019","21,420","22,730","23,840","20,820","","-13,10%"
"21.01.2019","21,600","22,470","22,600","20,850","","0,84%"
"22.01.2019","22,750","22,410","23,610","21,980","","5,32%"
"23.01.2019","22,960","22,210","23,150","21,600","","0,92%"
"24.01.2019","22,720","22,820","23,740","22,550","","-1,05%"
"25.01.2019","22,510","23,410","23,410","21,910","","-0,92%"
"28.01.2019","22,400","24,050","24,160","22,300","","-0,49%"
"29.01.2019","23,410","22,210","23,750","21,720","","4,51%"
"30.01.2019","23,660","23,360","24,470","23,350","","1,07%"
"31.01.2019","21,870","22,290","22,580","20,870","","-7,57%"
"01.02.2019","21,730","22,720","23,120","21,190","","-0,64%"
"04.02.2019","22,390","22,380","22,610","21,570","","3,04%"
"05.02.2019","20,730","22,320","22,460","20,660","","-7,41%"
"06.02.2019","21,820","21,040","21,860","20,950","","5,26%"
"07.02.2019","22,680","22,630","23,330","21,720","","3,94%"
"08.02.2019","22,770","22,840","23,110","22,580","","0,40%"
"11.02.2019","23,420","22,510","23,460","22,280","","2,85%"
"12.02.2019","21,980","22,950","23,020","21,360","","-6,15%"
"13.02.2019","22,810","22,130","23,710","21,900","","3,78%"
"14.02.2019","26,120","25,280","27,180","23,130","","14,51%"
"15.02.2019","22,620","22,660","23,320","21,540","","-13,40%"
"18.02.2019","23,210","23,580","24,030","23,000","","2,61%"
"19.02.2019","22,830","23,650","23,710","22,560","","-1,64%"
"20.02.2019","24,260","23,300","24,380","23,240","","6,26%"
"21.02.2019","23,760","24,550","24,680","23,670","","-2,06%"
"22.02.2019","23,900","23,770","23,900","23,420","","0,59%"
"25.02.2019","24,000","24,310","24,510","23,780","","0,42%"
"26.02.2019","23,530","23,850","24,070","23,320","","-1,96%"
"27.02.2019","23,580","24,150","24,280","23,420","","0,21%"
"28.02.2019","23,400","23,850","24,040","23,230","","-0,76%"
"01.03.2019","22,730","23,770","23,800","22,650","","-2,86%"
"04.03.2019","23,210","23,700","23,990","22,910","","2,11%"
"05.03.2019","23,090","22,970","23,300","22,810","","-0,52%"
"06.03.2019","23,040","23,080","23,400","22,930","","-0,22%"
"07.03.2019","22,970","22,700","23,100","22,250","","-0,30%"
"11.03.2019","23,040","24,180","24,180","23,040","","0,30%"
"12.03.2019","22,410","22,720","22,830","21,940","","-2,73%"
"13.03.2019","21,720","22,420","22,760","21,600","","-3,08%"
"14.03.2019","21,540","21,510","21,950","20,750","","-0,83%"
"15.03.2019","19,720","21,100","21,150","19,400","","-8,45%"
"18.03.2019","22,480","21,380","23,120","21,090","","14,00%"
"19.03.2019","22,300","22,690","22,880","21,570","","-0,80%"
"20.03.2019","22,170","22,430","22,750","21,970","","-0,58%"
"21.03.2019","20,490","20,850","20,930","19,830","","-7,58%"
"22.03.2019","22,680","20,620","23,240","20,140","","10,69%"
"25.03.2019","22,190","22,500","23,170","22,070","","-2,16%"
"26.03.2019","21,770","22,200","22,590","21,430","","-1,89%"
"27.03.2019","22,980","22,360","23,590","22,180","","5,56%"
"28.03.2019","22,860","22,550","23,090","22,290","","-0,52%"
"29.03.2019","22,990","23,610","24,090","21,950","","0,57%"
"01.04.2019","23,940","23,150","23,960","22,930","","4,13%"
"02.04.2019","24,140","24,850","24,930","23,840","","0,84%"
"03.04.2019","23,070","23,180","23,310","21,820","","-4,43%"
"04.04.2019","23,300","23,470","24,050","23,100","","1,00%"
"05.04.2019","21,950","23,090","23,090","21,570","","-5,79%"
"08.04.2019","21,020","22,580","22,680","20,960","","-4,24%"
"09.04.2019","19,640","20,060","20,970","19,480","","-6,57%"
"10.04.2019","20,640","20,210","21,110","19,690","","5,09%"
"11.04.2019","18,840","20,690","20,770","17,680","","-8,72%"
"12.04.2019","19,720","18,800","19,860","18,600","","4,67%"
"15.04.2019","19,750","22,000","22,000","19,620","","0,15%"
"16.04.2019","20,330","20,060","20,500","19,450","","2,94%"
"17.04.2019","20,920","21,420","21,810","20,770","","2,90%"
"18.04.2019","20,370","20,670","21,030","20,070","","-2,63%"
"19.04.2019","19,860","20,490","20,490","19,650","","-2,50%"
"22.04.2019","19,800","20,690","20,690","19,770","","-0,30%"
"23.04.2019","20,350","19,650","20,800","18,940","","2,78%"
"24.04.2019","20,550","21,000","21,190","20,480","","0,98%"
"25.04.2019","19,180","20,380","20,380","19,070","","-6,67%"
"26.04.2019","19,140","19,160","19,840","18,700","","-0,21%"
"29.04.2019","19,910","19,530","20,500","19,430","","4,02%"
"30.04.2019","19,410","19,600","19,880","19,170","","-2,51%"
"02.05.2019","20,680","20,060","20,930","19,670","","6,54%"
"03.05.2019","18,210","19,430","19,730","17,860","","-11,94%"
"06.05.2019","18,920","20,660","20,850","18,920","","3,90%"
"07.05.2019","20,910","18,370","21,160","18,120","","10,52%"
"08.05.2019","20,580","21,270","22,200","20,130","","-1,58%"
"10.05.2019","24,810","23,320","24,810","23,040","","20,55%"
"13.05.2019","24,980","25,080","25,180","24,040","","0,69%"
"14.05.2019","17,820","24,490","24,490","17,820","","-28,66%"
"15.05.2019","19,370","19,320","21,070","18,690","","8,70%"
"16.05.2019","20,140","19,150","20,960","18,820","","3,98%"
"17.05.2019","19,490","19,440","20,180","19,090","","-3,23%"
"20.05.2019","20,110","20,920","20,920","19,510","","3,18%"
"21.05.2019","20,270","20,320","21,300","20,060","","0,80%"
"22.05.2019","19,440","20,760","21,260","18,570","","-4,09%"
"23.05.2019","21,810","20,870","22,970","20,870","","12,19%"
"24.05.2019","21,020","21,530","21,560","20,230","","-3,62%"
"27.05.2019","20,430","21,000","21,530","20,420","","-2,81%"
"28.05.2019","22,060","20,620","22,060","20,360","","7,98%"
"29.05.2019","21,700","21,770","22,460","21,490","","-1,63%"
"30.05.2019","20,540","20,970","21,320","20,370","","-5,35%"
"31.05.2019","20,310","21,390","21,920","20,290","","-1,12%"
"03.06.2019","23,170","22,070","23,820","21,080","","14,08%"
"04.06.2019","24,120","23,270","24,880","23,230","","4,10%"
"05.06.2019","23,910","24,160","24,310","23,460","","-0,87%"
"06.06.2019","22,940","23,790","23,830","22,740","","-4,06%"
"07.06.2019","23,080","22,440","23,200","22,380","","0,61%"
"10.06.2019","22,760","23,360","23,430","22,760","","-1,39%"
"11.06.2019","22,520","22,950","23,240","22,080","","-1,05%"
"13.06.2019","21,040","22,590","22,960","20,720","","-6,57%"
"14.06.2019","21,440","22,100","22,100","19,300","","1,90%"
"17.06.2019","21,710","21,710","22,110","20,150","","1,26%"
"18.06.2019","21,120","21,620","22,470","20,310","","-2,72%"
"19.06.2019","22,310","21,790","22,540","21,610","","5,63%"
"20.06.2019","22,160","23,180","23,600","21,660","","-0,67%"
"21.06.2019","21,520","21,510","21,850","20,210","","-2,89%"
"24.06.2019","21,730","21,630","22,130","21,150","","0,98%"
"25.06.2019","22,190","21,160","22,510","20,760","","2,12%"
"26.06.2019","21,640","22,920","23,130","21,580","","-2,48%"
"27.06.2019","21,510","21,550","22,080","20,730","","-0,60%"
"28.06.2019","21,840","21,210","21,870","20,390","","1,53%"
"01.07.2019","20,490","21,770","21,820","20,330","","-6,18%"
"02.07.2019","21,320","20,220","21,350","20,200","","4,05%"
"03.07.2019","20,600","20,900","21,250","19,920","","-3,38%"
"04.07.2019","20,880","21,150","21,560","20,540","","1,36%"
"05.07.2019","20,270","21,010","21,280","20,030","","-2,92%"
"08.07.2019","19,740","20,670","20,720","18,880","","-2,61%"
"09.07.2019","19,620","19,600","20,550","19,270","","-0,61%"
"10.07.2019","20,020","19,800","20,400","19,250","","2,04%"
"11.07.2019","18,310","19,870","22,050","17,930","","-8,54%"
"12.07.2019","18,060","18,270","19,320","17,920","","-1,37%"
"15.07.2019","18,600","18,270","18,760","17,810","","2,99%"
"16.07.2019","19,120","18,930","19,990","18,810","","2,80%"
"17.07.2019","19,760","19,450","19,880","18,400","","3,35%"
"18.07.2019","19,800","19,770","20,190","19,280","","0,20%"
"19.07.2019","19,130","18,040","19,170","17,760","","-3,38%"
"22.07.2019","19,790","19,860","20,200","19,400","","3,45%"
"23.07.2019","19,750","19,780","20,110","19,510","","-0,20%"
"24.07.2019","19,760","19,730","20,090","19,640","","0,05%"
"25.07.2019","20,190","19,430","20,360","18,680","","2,18%"
"26.07.2019","19,870","20,070","20,150","18,780","","-1,58%"
"29.07.2019","20,320","20,480","20,780","19,940","","2,26%"
"30.07.2019","20,430","20,210","20,960","20,120","","0,54%"
"31.07.2019","20,500","20,280","20,730","19,850","","0,34%"
"01.08.2019","20,800","21,290","21,470","20,520","","1,46%"
"02.08.2019","23,680","21,140","24,280","20,890","","13,85%"
"05.08.2019","23,910","23,590","25,220","23,310","","0,97%"
"06.08.2019","24,320","24,020","24,460","23,910","","1,71%"
"07.08.2019","22,400","23,440","23,550","22,140","","-7,89%"
"08.08.2019","20,450","20,450","20,450","20,450","","-8,71%"
"09.08.2019","19,740","20,010","20,270","18,700","","-3,47%"
"12.08.2019","23,440","23,740","23,740","23,240","","18,74%"
"13.08.2019","13,920","12,760","14,930","12,360","","-40,61%"
"14.08.2019","25,000","23,200","25,640","22,640","","79,60%"
"15.08.2019","25,180","24,730","26,510","23,620","","0,72%"
"16.08.2019","22,950","22,530","23,590","21,790","","-8,86%"
"19.08.2019","22,910","23,720","23,940","22,850","","-0,17%"
"20.08.2019","21,360","23,420","23,550","21,270","","-6,77%"
"21.08.2019","20,920","20,700","21,270","20,140","","-2,06%"
"22.08.2019","20,780","20,730","21,330","20,270","","-0,67%"
"23.08.2019","21,090","20,950","21,630","20,300","","1,49%"
"26.08.2019","21,340","22,320","22,490","21,180","","1,19%"
"27.08.2019","23,030","22,050","23,350","21,890","","7,92%"
"28.08.2019","22,170","22,870","23,340","21,950","","-3,73%"
"29.08.2019","21,050","22,450","22,450","20,760","","-5,05%"
"30.08.2019","20,370","20,820","21,430","19,850","","-3,23%"
"02.09.2019","21,380","21,230","21,500","21,020","","4,96%"
"03.09.2019","20,640","21,470","21,820","19,870","","-3,46%"
"04.09.2019","19,730","20,370","20,700","19,730","","-4,41%"
"05.09.2019","19,820","19,930","20,630","19,650","","0,46%"
"06.09.2019","20,050","20,000","20,780","19,490","","1,16%"
"09.09.2019","19,820","20,550","20,560","19,590","","-1,15%"
"10.09.2019","20,150","19,990","20,270","19,630","","1,66%"
"11.09.2019","20,640","20,140","20,750","19,880","","2,43%"
"12.09.2019","21,150","21,530","21,730","20,490","","2,47%"
"13.09.2019","20,240","21,140","21,160","20,100","","-4,30%"
"16.09.2019","20,180","18,550","20,350","18,520","","-0,30%"
"17.09.2019","20,590","20,070","21,170","19,840","","2,03%"
"18.09.2019","20,290","20,620","20,700","20,150","","-1,46%"
"19.09.2019","20,220","20,650","20,910","19,570","","-0,35%"
"20.09.2019","20,710","20,360","21,060","20,280","","2,42%"
"23.09.2019","20,620","21,100","21,790","20,530","","-0,43%"
"24.09.2019","21,120","20,270","21,560","19,790","","2,42%"
"25.09.2019","20,620","20,860","22,660","19,940","","-2,37%"
"26.09.2019","20,520","20,500","21,040","20,260","","-0,48%"
"27.09.2019","19,890","20,630","20,680","19,720","","-3,07%"
"30.09.2019","19,540","20,490","20,490","19,020","","-1,76%"
"01.10.2019","20,070","19,180","20,180","19,110","","2,71%"
"02.10.2019","21,230","19,760","21,610","19,540","","5,78%"
"03.10.2019","22,480","21,700","22,480","21,300","","5,89%"
"04.10.2019","21,280","21,760","21,870","20,290","","-5,34%"
"07.10.2019","20,520","22,190","22,430","20,400","","-3,57%"
"08.10.2019","21,550","20,370","21,760","20,300","","5,02%"
"09.10.2019","20,540","21,520","21,560","19,920","","-4,69%"
"10.10.2019","18,160","20,100","20,210","18,160","","-11,59%"
"11.10.2019","18,440","19,850","21,320","18,250","","1,54%"
"14.10.2019","18,780","19,020","19,410","18,050","","1,84%"
"15.10.2019","18,140","19,190","19,300","18,120","","-3,41%"
"16.10.2019","19,720","18,900","20,130","18,530","","8,71%"
"17.10.2019","19,250","19,890","20,190","18,760","","-2,38%"
"18.10.2019","18,900","19,030","19,380","18,510","","-1,82%"
"21.10.2019","19,420","20,040","20,060","18,400","","2,75%"
"22.10.2019","17,650","18,460","18,930","17,380","","-9,11%"
"23.10.2019","18,120","17,700","18,120","17,440","","2,66%"
"24.10.2019","19,050","18,580","19,560","18,350","","5,13%"
"25.10.2019","17,810","19,080","19,770","17,700","","-6,51%"
"28.10.2019","20,380","18,670","20,460","18,310","","14,43%"
"29.10.2019","19,510","20,800","21,010","19,060","","-4,27%"
"30.10.2019","19,190","19,710","19,880","18,530","","-1,64%"
"31.10.2019","19,520","19,630","20,390","18,840","","1,72%"
"01.11.2019","20,820","19,550","20,900","18,440","","6,66%"
"05.11.2019","21,330","20,780","21,440","19,980","","2,45%"
"06.11.2019","20,020","21,400","21,430","19,940","","-6,14%"
"07.11.2019","19,730","20,680","20,730","18,920","","-1,45%"
"08.11.2019","20,430","19,740","21,570","19,520","","3,55%"
"11.11.2019","21,190","21,570","21,880","20,970","","3,72%"
"12.11.2019","21,430","20,930","21,810","20,340","","1,13%"
"13.11.2019","20,840","21,290","21,570","20,550","","-2,75%"
"14.11.2019","20,460","21,120","21,730","20,290","","-1,82%"
"15.11.2019","20,800","20,930","21,260","20,130","","1,66%"
"18.11.2019","21,180","21,640","22,220","20,830","","1,83%"
"19.11.2019","21,300","21,100","21,940","21,020","","0,57%"
"20.11.2019","21,300","21,110","21,700","20,240","","0,00%"
"21.11.2019","21,310","21,300","21,470","21,020","","0,05%"
"22.11.2019","20,390","20,730","21,150","20,030","","-4,32%"
"25.11.2019","20,860","21,090","21,150","20,250","","2,31%"
"26.11.2019","20,220","20,650","20,770","19,570","","-3,07%"
"27.11.2019","19,790","20,070","20,580","19,620","","-2,13%"
"28.11.2019","19,350","19,700","19,710","18,930","","-2,22%"
"29.11.2019","18,940","19,170","19,190","18,490","","-2,12%"
"02.12.2019","19,190","19,610","20,380","19,060","","1,32%"
"03.12.2019","20,670","19,260","20,680","19,150","","7,71%"
"04.12.2019","19,700","20,740","21,150","19,540","","-4,69%"
"05.12.2019","19,520","19,540","20,400","19,470","","-0,91%"
"06.12.2019","19,960","19,520","20,100","19,150","","2,25%"
"09.12.2019","21,010","20,750","21,330","20,190","","5,26%"
"10.12.2019","20,650","20,680","21,090","20,070","","-1,71%"
"11.12.2019","20,270","20,840","21,060","20,080","","-1,84%"
"12.12.2019","19,920","18,430","20,190","17,890","","-1,73%"
"13.12.2019","19,990","19,770","20,940","19,740","","0,35%"
"16.12.2019","19,100","20,460","20,790","19,030","","-4,45%"
"17.12.2019","20,190","19,620","20,370","19,320","","5,71%"
"18.12.2019","19,690","19,960","20,410","18,980","","-2,48%"
"19.12.2019","19,810","20,260","20,320","18,740","","0,61%"
"20.12.2019","18,240","19,350","19,630","18,120","","-7,93%"
"23.12.2019","19,280","18,910","19,370","18,640","","5,70%"
"24.12.2019","20,000","19,680","20,030","19,560","","3,73%"
"25.12.2019","20,260","20,150","20,610","19,940","","1,30%"
"26.12.2019","20,060","20,500","20,760","19,750","","-0,99%"
"27.12.2019","21,290","20,490","21,730","20,450","","6,13%"
"30.12.2019","22,650","22,090","23,020","21,750","","6,39%"
"03.01.2020","22,690","22,930","22,960","22,030","","0,18%"
"06.01.2020","22,770","24,010","24,230","22,720","","0,35%"
"08.01.2020","22,960","22,710","23,200","22,120","","0,83%"
"09.01.2020","22,420","24,480","24,480","21,540","","-2,35%"
"10.01.2020","19,650","22,020","22,470","19,550","","-12,36%"
"13.01.2020","19,870","20,200","20,650","19,440","","1,12%"
"14.01.2020","19,840","19,200","19,980","18,200","","-0,15%"
"15.01.2020","19,830","20,150","20,330","18,170","","-0,05%"
"16.01.2020","17,490","19,230","19,290","16,990","","-11,80%"
"17.01.2020","17,670","16,950","17,990","16,290","","1,03%"
"20.01.2020","18,920","19,190","19,270","18,730","","7,07%"
"21.01.2020","18,090","17,830","18,440","17,600","","-4,39%"
"22.01.2020","17,930","18,910","18,990","17,380","","-0,88%"
"23.01.2020","19,530","18,900","19,630","17,940","","8,92%"
"24.01.2020","19,080","18,680","19,140","17,870","","-2,30%"
"27.01.2020","21,230","18,940","21,610","18,690","","11,27%"
"28.01.2020","19,380","20,840","21,480","19,320","","-8,71%"
"29.01.2020","20,190","20,020","20,850","19,580","","4,18%"
"30.01.2020","22,240","21,860","22,510","21,070","","10,15%"
"31.01.2020","21,380","21,790","22,400","20,980","","-3,87%"
"03.02.2020","22,180","22,610","23,140","21,950","","3,74%"
"04.02.2020","22,890","22,790","22,980","22,280","","3,20%"
"05.02.2020","22,450","23,130","23,220","21,240","","-1,92%"
"06.02.2020","24,010","22,010","24,120","21,640","","6,95%"
"07.02.2020","23,440","24,240","24,570","23,170","","-2,37%"
"10.02.2020","24,150","23,800","24,780","22,610","","3,03%"
"11.02.2020","22,950","23,360","23,710","22,330","","-4,97%"
"12.02.2020","22,540","23,360","23,520","22,430","","-1,79%"
"13.02.2020","22,630","22,180","23,010","22,070","","0,40%"
"14.02.2020","21,900","22,960","23,000","21,510","","-3,23%"
"17.02.2020","22,240","23,030","23,270","21,820","","1,55%"
"18.02.2020","22,630","21,770","23,390","21,640","","1,75%"
"19.02.2020","22,280","22,540","22,640","22,020","","-1,55%"
"20.02.2020","22,020","22,370","22,580","21,940","","-1,17%"
"21.02.2020","21,510","21,680","22,420","21,250","","-2,32%"
"25.02.2020","26,410","23,000","26,430","22,990","","22,78%"
"26.02.2020","27,410","27,510","28,890","26,980","","3,79%"
"27.02.2020","31,270","28,460","31,890","28,300","","14,08%"
"28.02.2020","39,760","35,370","45,590","35,320","","27,15%"
"02.03.2020","40,460","38,810","41,160","34,630","","1,76%"
"03.03.2020","37,450","37,820","38,310","36,390","","-7,44%"
"04.03.2020","37,860","39,520","39,520","37,000","","1,09%"
"05.03.2020","38,690","38,440","39,260","37,810","","2,19%"
"06.03.2020","45,960","40,290","46,180","40,120","","18,79%"
"10.03.2020","60,210","69,870","74,200","56,100","","31,01%"
"11.03.2020","65,560","64,090","65,870","63,290","","8,89%"
"12.03.2020","94,410","78,570","94,460","76,170","","44,01%"
"13.03.2020","87,100","89,490","89,490","82,280","","-7,74%"
"16.03.2020","96,650","94,010","101,180","85,620","","10,96%"
"17.03.2020","95,780","98,690","101,100","93,290","","-0,90%"
"18.03.2020","118,240","100,210","124,790","99,320","","23,45%"
"19.03.2020","99,860","121,730","126,740","96,860","","-15,54%"
"20.03.2020","89,140","88,990","92,470","79,650","","-10,74%"
"23.03.2020","95,580","99,630","101,960","90,350","","7,22%"
"24.03.2020","79,200","88,100","90,670","76,710","","-17,14%"
"25.03.2020","76,820","73,230","83,230","70,420","","-3,01%"
"26.03.2020","72,910","78,700","80,160","71,660","","-5,09%"
"27.03.2020","82,450","73,440","85,470","72,880","","13,08%"
"30.03.2020","76,800","87,660","87,660","76,800","","-6,85%"
"31.03.2020","70,130","75,890","76,460","68,030","","-8,68%"
"01.04.2020","72,180","73,530","74,170","71,560","","2,92%"
"02.04.2020","68,800","70,600","73,120","66,820","","-4,68%"
"03.04.2020","68,520","70,290","70,490","60,720","","-0,41%"
"06.04.2020","64,840","69,710","69,710","64,550","","-5,37%"
"07.04.2020","59,340","65,230","65,230","58,930","","-8,48%"
"08.04.2020","57,710","59,820","59,820","57,270","","-2,75%"
"09.04.2020","59,130","60,640","63,330","57,490","","2,46%"
"10.04.2020","57,010","60,680","61,450","57,010","","-3,59%"
"13.04.2020","56,040","57,490","60,110","55,060","","-1,70%"
"14.04.2020","53,340","55,040","55,710","51,770","","-4,82%"
"15.04.2020","61,990","56,020","63,670","56,010","","16,22%"
"16.04.2020","58,740","61,360","61,850","54,760","","-5,24%"
"17.04.2020","54,130","56,040","56,810","53,390","","-7,85%"
"20.04.2020","57,740","57,260","59,050","55,880","","6,67%"
"21.04.2020","66,810","68,580","70,630","66,030","","15,71%"
"22.04.2020","54,290","64,970","65,000","53,970","","-18,74%"
"23.04.2020","48,750","48,850","52,990","47,460","","-10,20%"
"24.04.2020","49,570","50,650","52,600","48,170","","1,68%"
"27.04.2020","47,950","49,070","49,340","46,470","","-3,27%"
"28.04.2020","47,080","48,380","49,430","45,260","","-1,81%"
"29.04.2020","42,360","46,420","46,740","42,360","","-10,03%"
"30.04.2020","44,670","43,280","46,610","42,490","","5,45%"
"04.05.2020","46,080","45,900","48,820","45,310","","3,16%"
"05.05.2020","39,940","42,760","43,770","39,940","","-13,32%"
"06.05.2020","43,560","40,980","44,320","40,840","","9,06%"
"07.05.2020","41,640","43,550","43,620","40,210","","-4,41%"
"08.05.2020","40,300","41,350","42,340","40,170","","-3,22%"
"12.05.2020","40,780","43,080","43,580","40,290","","1,19%"
"13.05.2020","41,010","42,640","43,430","39,720","","0,56%"
"14.05.2020","41,930","44,350","44,500","39,320","","2,24%"
"15.05.2020","38,360","39,640","39,640","35,390","","-8,51%"
"18.05.2020","36,120","37,070","37,360","35,430","","-5,84%"
"19.05.2020","35,500","34,980","35,930","34,510","","-1,72%"
"20.05.2020","34,960","35,830","36,890","34,260","","-1,52%"
"21.05.2020","35,460","35,470","37,030","34,600","","1,43%"
"22.05.2020","34,920","35,170","36,220","34,580","","-1,52%"
"25.05.2020","36,110","37,180","37,180","36,010","","3,41%"
"26.05.2020","35,470","35,400","36,060","35,100","","-1,77%"
"27.05.2020","37,270","36,160","37,330","35,250","","5,07%"
"28.05.2020","35,930","35,700","36,410","34,920","","-3,60%"
"29.05.2020","35,470","35,970","36,210","35,080","","-1,28%"
"01.06.2020","36,030","36,770","36,770","35,430","","1,58%"
"02.06.2020","35,310","35,380","36,030","34,960","","-2,00%"
"03.06.2020","34,700","35,830","36,260","34,480","","-1,73%"
"04.06.2020","36,230","35,890","36,230","34,680","","4,41%"
"05.06.2020","34,390","35,180","35,180","34,270","","-5,08%"
"08.06.2020","35,840","36,110","36,340","34,790","","4,22%"
"09.06.2020","35,380","35,310","35,540","34,250","","-1,28%"
"10.06.2020","34,920","35,590","35,620","34,350","","-1,30%"
"11.06.2020","35,650","35,210","36,320","34,040","","2,09%"
"15.06.2020","37,780","38,850","39,050","36,850","","5,97%"
"16.06.2020","37,390","36,850","38,060","36,020","","-1,03%"
"17.06.2020","38,070","36,780","38,250","36,370","","1,82%"
"18.06.2020","35,980","38,420","38,530","35,530","","-5,49%"
"19.06.2020","33,190","35,160","35,210","32,510","","-7,75%"
"22.06.2020","34,320","35,520","35,880","33,620","","3,40%"
"23.06.2020","32,670","34,700","35,250","32,070","","-4,81%"
"25.06.2020","31,490","32,880","33,020","31,400","","-3,61%"
"26.06.2020","31,410","32,520","32,550","30,620","","-0,25%"
"29.06.2020","33,680","32,780","34,050","32,360","","7,23%"
"30.06.2020","34,980","33,060","35,490","33,060","","3,86%"
"02.07.2020","32,770","35,980","36,130","31,250","","-6,32%"
"03.07.2020","32,160","32,120","33,250","31,820","","-1,86%"
"06.07.2020","31,950","32,320","32,320","30,870","","-0,65%"
"07.07.2020","32,030","33,720","34,150","31,670","","0,25%"
"08.07.2020","32,820","32,790","33,280","31,840","","2,47%"
"09.07.2020","32,330","32,820","32,820","31,010","","-1,49%"
"10.07.2020","30,470","33,760","34,240","30,010","","-5,75%"
"13.07.2020","31,690","32,450","32,790","31,010","","4,00%"
"14.07.2020","34,160","33,290","34,740","33,110","","7,79%"
"15.07.2020","33,020","34,910","34,950","31,960","","-3,34%"
"16.07.2020","31,520","33,250","33,840","30,750","","-4,54%"
"17.07.2020","31,390","32,060","32,460","31,010","","-0,41%"
"20.07.2020","30,280","32,750","33,100","29,770","","-3,54%"
"21.07.2020","31,060","31,420","31,500","29,910","","2,58%"
"22.07.2020","31,220","31,450","32,350","30,360","","0,52%"
"23.07.2020","30,590","30,360","31,100","29,600","","-2,02%"
"24.07.2020","31,100","31,300","31,830","31,050","","1,67%"
"27.07.2020","29,890","30,960","31,120","28,940","","-3,89%"
"28.07.2020","31,030","29,870","31,520","29,150","","3,81%"
"29.07.2020","29,470","30,720","30,720","29,460","","-5,03%"
"30.07.2020","31,890","30,240","32,150","30,240","","8,21%"
"31.07.2020","31,300","32,290","32,480","31,120","","-1,85%"
"03.08.2020","30,790","32,480","32,590","30,760","","-1,63%"
"04.08.2020","30,970","30,110","31,580","30,090","","0,58%"
"05.08.2020","29,850","29,860","30,130","28,980","","-3,62%"
"06.08.2020","29,530","29,880","30,040","29,220","","-1,07%"
"07.08.2020","29,390","29,420","30,000","29,010","","-0,47%"
"10.08.2020","29,620","30,440","30,440","28,760","","0,78%"
"11.08.2020","28,810","28,810","29,130","27,820","","-2,73%"
"12.08.2020","28,320","28,730","29,020","28,050","","-1,70%"
"13.08.2020","26,010","27,930","28,300","25,780","","-8,16%"
"14.08.2020","26,330","26,390","28,230","26,240","","1,23%"
"17.08.2020","31,560","27,400","32,790","26,960","","19,86%"
"18.08.2020","30,880","31,770","32,370","29,460","","-2,15%"
"19.08.2020","29,370","30,820","31,240","29,330","","-4,89%"
"20.08.2020","31,560","31,730","32,050","30,880","","7,46%"
"21.08.2020","32,610","30,150","33,250","29,090","","3,33%"
"24.08.2020","30,910","31,660","31,980","30,750","","-5,21%"
"25.08.2020","31,620","31,540","31,620","30,830","","2,30%"
"26.08.2020","31,650","31,760","32,740","30,990","","0,09%"
"27.08.2020","31,650","31,300","32,350","31,120","","0,00%"
"28.08.2020","31,580","31,950","32,510","31,450","","-0,22%"
"31.08.2020","33,150","32,580","33,430","32,170","","4,97%"
"01.09.2020","32,350","33,040","33,250","32,150","","-2,41%"
"02.09.2020","35,680","32,410","37,040","32,000","","10,29%"
"03.09.2020","36,510","37,030","37,070","35,170","","2,33%"
"04.09.2020","35,780","36,910","36,940","34,920","","-2,00%"
"07.09.2020","36,370","37,170","37,640","36,180","","1,65%"
"08.09.2020","36,590","36,000","37,320","35,520","","0,60%"
"09.09.2020","35,340","37,500","37,590","35,070","","-3,42%"
"10.09.2020","34,290","34,870","35,080","33,660","","-2,97%"
